image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_3/A0.jpg,124,18,214,108
user_3/A1.jpg,124,18,214,108
user_3/A2.jpg,123,19,213,109
user_3/A3.jpg,122,21,212,111
user_3/A4.jpg,122,20,212,110
user_3/A5.jpg,96,35,176,115
user_3/A6.jpg,93,39,173,119
user_3/A7.jpg,90,46,170,126
user_3/A8.jpg,89,54,169,134
user_3/A9.jpg,90,56,170,136
user_3/B0.jpg,139,12,289,162
user_3/B1.jpg,139,12,289,162
user_3/B2.jpg,149,22,279,152
user_3/B3.jpg,147,23,277,153
user_3/B4.jpg,145,27,275,157
user_3/B5.jpg,3,23,193,213
user_3/B6.jpg,0,0,180,180
user_3/B7.jpg,38,0,218,180
user_3/B8.jpg,43,39,223,219
user_3/B9.jpg,66,0,186,120
user_3/C0.jpg,167,0,267,100
user_3/C1.jpg,175,0,275,100
user_3/C2.jpg,178,0,278,100
user_3/C3.jpg,167,0,267,100
user_3/C4.jpg,167,0,267,100
user_3/C5.jpg,68,6,198,136
user_3/C6.jpg,68,6,198,136
user_3/C7.jpg,71,12,191,132
user_3/C8.jpg,75,18,185,128
user_3/C9.jpg,70,21,180,131
user_3/D0.jpg,131,0,281,150
user_3/D1.jpg,123,0,273,150
user_3/D2.jpg,132,0,272,140
user_3/D3.jpg,132,0,272,140
user_3/D4.jpg,132,0,272,140
user_3/D5.jpg,34,3,194,163
user_3/D6.jpg,41,2,191,152
user_3/D7.jpg,35,0,185,150
user_3/D8.jpg,34,8,174,148
user_3/D9.jpg,39,13,169,143
user_3/F0.jpg,149,17,269,137
user_3/F1.jpg,143,16,263,136
user_3/F2.jpg,149,13,269,133
user_3/F3.jpg,147,20,267,140
user_3/F4.jpg,141,19,261,139
user_3/F5.jpg,83,21,203,141
user_3/F6.jpg,95,21,215,141
user_3/F7.jpg,85,28,205,148
user_3/F8.jpg,87,19,207,139
user_3/F9.jpg,77,16,197,136
user_3/H0.jpg,147,28,267,148
user_3/H1.jpg,145,29,265,149
user_3/H2.jpg,136,32,256,152
user_3/H3.jpg,135,28,255,148
user_3/H4.jpg,134,27,254,147
user_3/H5.jpg,94,67,194,167
user_3/H6.jpg,83,62,183,162
user_3/H7.jpg,84,64,194,174
user_3/H8.jpg,77,60,187,170
user_3/H9.jpg,71,64,181,174
user_3/I0.jpg,153,23,283,153
user_3/I1.jpg,149,24,279,154
user_3/I2.jpg,149,33,279,163
user_3/I3.jpg,150,61,260,171
user_3/I4.jpg,145,57,255,167
user_3/I5.jpg,106,26,206,126
user_3/I6.jpg,95,25,195,125
user_3/I7.jpg,106,32,206,132
user_3/I8.jpg,92,32,192,132
user_3/I9.jpg,97,42,197,142
user_3/K0.jpg,95,7,225,137
user_3/K1.jpg,80,5,210,135
user_3/K2.jpg,101,7,231,137
user_3/K3.jpg,99,0,229,130
user_3/K4.jpg,102,6,232,136
user_3/K5.jpg,60,18,170,128
user_3/K6.jpg,51,18,161,128
user_3/K7.jpg,63,24,173,134
user_3/K8.jpg,53,22,163,132
user_3/K9.jpg,63,27,173,137
user_3/L0.jpg,130,13,240,123
user_3/L1.jpg,144,13,254,123
user_3/L2.jpg,122,20,232,130
user_3/L3.jpg,138,23,248,133
user_3/L4.jpg,119,19,229,129
user_3/L5.jpg,80,31,210,161
user_3/L6.jpg,58,30,188,160
user_3/L7.jpg,78,35,208,165
user_3/L8.jpg,66,38,196,168
user_3/L9.jpg,74,45,204,175
user_3/O0.jpg,148,13,238,103
user_3/O1.jpg,142,8,232,98
user_3/O2.jpg,158,10,248,100
user_3/O3.jpg,146,5,236,95
user_3/O4.jpg,156,11,246,101
user_3/O5.jpg,80,31,200,151
user_3/O6.jpg,76,29,196,149
user_3/O7.jpg,107,29,227,149
user_3/O8.jpg,101,25,221,145
user_3/O9.jpg,116,34,236,154
user_3/V0.jpg,137,17,257,137
user_3/V1.jpg,131,19,251,139
user_3/V2.jpg,143,22,263,142
user_3/V3.jpg,121,26,241,146
user_3/V4.jpg,138,28,258,148
user_3/V5.jpg,82,25,212,155
user_3/V6.jpg,68,18,198,148
user_3/V7.jpg,87,23,217,153
user_3/V8.jpg,73,33,193,153
user_3/V9.jpg,79,37,199,157
user_3/W0.jpg,124,9,254,139
user_3/W1.jpg,111,6,241,136
user_3/W2.jpg,139,11,269,141
user_3/W3.jpg,107,6,237,136
user_3/W4.jpg,126,2,256,132
user_3/W5.jpg,73,26,203,156
user_3/W6.jpg,53,14,183,144
user_3/W7.jpg,72,34,192,154
user_3/W8.jpg,62,43,182,163
user_3/W9.jpg,73,49,183,159
user_3/Y0.jpg,142,11,262,131
user_3/Y1.jpg,132,8,252,128
user_3/Y2.jpg,144,6,264,126
user_3/Y3.jpg,124,4,244,124
user_3/Y4.jpg,138,10,258,130
user_3/Y5.jpg,103,51,213,161
user_3/Y6.jpg,80,49,190,159
user_3/Y7.jpg,92,52,202,162
user_3/Y8.jpg,81,58,191,168
user_3/Y9.jpg,84,64,194,174
