image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_10/A0.jpg,186,84,286,184
user_10/A1.jpg,186,84,286,184
user_10/A2.jpg,185,90,285,190
user_10/A3.jpg,180,88,290,198
user_10/A4.jpg,173,102,293,222
user_10/A5.jpg,194,52,304,162
user_10/A6.jpg,194,62,304,172
user_10/A7.jpg,199,69,299,169
user_10/A8.jpg,195,61,305,171
user_10/A9.jpg,188,58,308,178
user_10/B0.jpg,189,49,319,179
user_10/B1.jpg,199,52,319,172
user_10/B2.jpg,199,54,319,174
user_10/B3.jpg,199,58,319,178
user_10/B4.jpg,199,62,319,182
user_10/B5.jpg,159,22,309,172
user_10/B6.jpg,164,21,304,161
user_10/B7.jpg,170,21,310,161
user_10/B8.jpg,169,32,319,182
user_10/B9.jpg,159,34,319,194
user_10/C0.jpg,196,39,316,159
user_10/C1.jpg,209,41,319,151
user_10/C2.jpg,212,50,312,150
user_10/C3.jpg,212,54,312,154
user_10/C4.jpg,210,58,310,158
user_10/C5.jpg,214,50,314,150
user_10/C6.jpg,212,51,312,151
user_10/C7.jpg,212,51,312,151
user_10/C8.jpg,208,49,308,149
user_10/C9.jpg,208,49,308,149
user_10/D0.jpg,194,59,304,169
user_10/D1.jpg,199,59,309,169
user_10/D2.jpg,200,63,310,173
user_10/D3.jpg,200,63,310,173
user_10/D4.jpg,199,62,309,172
user_10/D5.jpg,159,44,319,204
user_10/D6.jpg,169,43,319,193
user_10/D7.jpg,187,50,317,180
user_10/D8.jpg,187,50,317,180
user_10/D9.jpg,168,65,318,215
user_10/F0.jpg,182,32,302,152
user_10/F1.jpg,181,33,301,153
user_10/F2.jpg,188,35,308,155
user_10/F3.jpg,189,40,309,160
user_10/F4.jpg,183,43,303,163
user_10/F5.jpg,160,28,280,148
user_10/F6.jpg,172,23,292,143
user_10/F7.jpg,166,34,286,154
user_10/F8.jpg,174,34,294,154
user_10/F9.jpg,186,36,306,156
user_10/H0.jpg,151,35,271,155
user_10/H1.jpg,160,38,280,158
user_10/H2.jpg,170,40,290,160
user_10/H3.jpg,179,47,289,157
user_10/H4.jpg,182,51,292,161
user_10/H5.jpg,183,71,293,181
user_10/H6.jpg,172,70,282,180
user_10/H7.jpg,180,75,290,185
user_10/H8.jpg,160,75,270,185
user_10/H9.jpg,171,76,281,186
user_10/I0.jpg,192,44,302,154
user_10/I1.jpg,198,41,308,151
user_10/I2.jpg,199,56,309,166
user_10/I3.jpg,198,50,308,160
user_10/I4.jpg,201,67,311,177
user_10/I5.jpg,196,48,306,158
user_10/I6.jpg,187,48,297,158
user_10/I7.jpg,199,61,309,171
user_10/I8.jpg,204,65,304,165
user_10/I9.jpg,206,72,306,172
user_10/K0.jpg,110,13,270,173
user_10/K1.jpg,109,3,269,163
user_10/K2.jpg,132,0,282,150
user_10/K3.jpg,152,0,282,130
user_10/K4.jpg,149,3,279,133
user_10/K5.jpg,114,34,274,194
user_10/K6.jpg,99,23,259,183
user_10/K7.jpg,135,21,295,181
user_10/K8.jpg,123,6,283,166
user_10/K9.jpg,126,1,286,161
user_10/L0.jpg,177,37,307,167
user_10/L1.jpg,189,42,319,172
user_10/L2.jpg,178,40,308,170
user_10/L3.jpg,183,43,313,173
user_10/L4.jpg,164,43,294,173
user_10/L5.jpg,177,30,307,160
user_10/L6.jpg,172,29,302,159
user_10/L7.jpg,186,26,316,156
user_10/L8.jpg,179,36,309,166
user_10/L9.jpg,175,35,305,165
user_10/O0.jpg,171,37,291,157
user_10/O1.jpg,166,35,286,155
user_10/O2.jpg,175,34,295,154
user_10/O3.jpg,165,33,285,153
user_10/O4.jpg,177,38,297,158
user_10/O5.jpg,169,35,279,145
user_10/O6.jpg,157,41,267,151
user_10/O7.jpg,177,43,287,153
user_10/O8.jpg,177,52,277,152
user_10/O9.jpg,172,50,272,150
user_10/V0.jpg,152,27,292,167
user_10/V1.jpg,141,25,281,165
user_10/V2.jpg,155,30,295,170
user_10/V3.jpg,163,40,293,170
user_10/V4.jpg,160,48,290,178
user_10/V5.jpg,150,34,290,174
user_10/V6.jpg,139,37,279,177
user_10/V7.jpg,155,41,295,181
user_10/V8.jpg,148,37,288,177
user_10/V9.jpg,163,51,303,191
user_10/W0.jpg,131,46,291,206
user_10/W1.jpg,118,46,278,206
user_10/W2.jpg,135,37,295,197
user_10/W3.jpg,143,50,283,190
user_10/W4.jpg,146,44,286,184
user_10/W5.jpg,130,34,270,174
user_10/W6.jpg,119,33,259,173
user_10/W7.jpg,141,46,271,176
user_10/W8.jpg,134,47,264,177
user_10/W9.jpg,143,58,263,178
user_10/Y0.jpg,187,57,307,177
user_10/Y1.jpg,175,54,295,174
user_10/Y2.jpg,188,59,308,179
user_10/Y3.jpg,170,55,290,175
user_10/Y4.jpg,186,56,306,176
user_10/Y5.jpg,175,35,295,155
user_10/Y6.jpg,166,36,286,156
user_10/Y7.jpg,186,35,306,155
user_10/Y8.jpg,180,43,300,163
user_10/Y9.jpg,183,59,293,169
