image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_5/A0.jpg,181,92,271,182
user_5/A1.jpg,180,95,270,185
user_5/A2.jpg,180,97,270,187
user_5/A3.jpg,180,98,270,188
user_5/A4.jpg,179,103,269,193
user_5/A5.jpg,204,50,294,140
user_5/A6.jpg,204,50,294,140
user_5/A7.jpg,205,50,295,140
user_5/A8.jpg,209,50,299,140
user_5/A9.jpg,205,51,295,141
user_5/B0.jpg,163,47,293,177
user_5/B1.jpg,163,47,293,177
user_5/B2.jpg,163,47,293,177
user_5/B3.jpg,169,52,289,172
user_5/B4.jpg,177,58,287,168
user_5/B5.jpg,169,13,319,163
user_5/B6.jpg,169,13,319,163
user_5/B7.jpg,178,14,318,154
user_5/B8.jpg,178,14,318,154
user_5/B9.jpg,183,19,313,149
user_5/C0.jpg,195,49,305,159
user_5/C1.jpg,195,48,305,158
user_5/C2.jpg,195,48,305,158
user_5/C3.jpg,198,52,308,162
user_5/C4.jpg,202,60,302,160
user_5/C5.jpg,168,58,298,188
user_5/C6.jpg,171,52,301,182
user_5/C7.jpg,176,40,306,170
user_5/C8.jpg,176,33,306,163
user_5/C9.jpg,177,28,307,158
user_5/D0.jpg,153,48,303,198
user_5/D1.jpg,157,38,307,188
user_5/D2.jpg,159,33,309,183
user_5/D3.jpg,165,28,315,178
user_5/D4.jpg,167,26,317,176
user_5/D5.jpg,133,23,303,193
user_5/D6.jpg,131,14,301,184
user_5/D7.jpg,150,9,310,169
user_5/D8.jpg,159,4,319,164
user_5/D9.jpg,170,9,310,149
user_5/F0.jpg,179,32,309,162
user_5/F1.jpg,173,30,303,160
user_5/F2.jpg,184,29,314,159
user_5/F3.jpg,175,23,305,153
user_5/F4.jpg,181,30,311,160
user_5/F5.jpg,103,58,233,188
user_5/F6.jpg,108,48,238,178
user_5/F7.jpg,121,42,251,172
user_5/F8.jpg,119,30,249,160
user_5/F9.jpg,132,22,262,152
user_5/H0.jpg,169,90,289,210
user_5/H1.jpg,183,91,303,211
user_5/H2.jpg,179,94,299,214
user_5/H3.jpg,187,90,307,210
user_5/H4.jpg,188,85,308,205
user_5/H5.jpg,134,43,294,203
user_5/H6.jpg,145,50,285,190
user_5/H7.jpg,150,43,290,183
user_5/H8.jpg,153,37,293,177
user_5/H9.jpg,164,38,304,178
user_5/I0.jpg,167,72,277,182
user_5/I1.jpg,157,68,267,178
user_5/I2.jpg,169,65,279,175
user_5/I3.jpg,171,77,281,187
user_5/I4.jpg,171,67,281,177
user_5/I5.jpg,177,33,297,153
user_5/I6.jpg,191,26,311,146
user_5/I7.jpg,181,19,301,139
user_5/I8.jpg,194,25,314,145
user_5/I9.jpg,188,22,308,142
user_5/K0.jpg,169,30,319,180
user_5/K1.jpg,147,34,297,184
user_5/K2.jpg,164,24,314,174
user_5/K3.jpg,157,19,307,169
user_5/K4.jpg,165,19,315,169
user_5/K5.jpg,135,22,305,192
user_5/K6.jpg,145,15,315,185
user_5/K7.jpg,130,8,300,178
user_5/K8.jpg,149,9,319,179
user_5/K9.jpg,139,0,309,170
user_5/L0.jpg,159,57,319,217
user_5/L1.jpg,159,47,319,207
user_5/L2.jpg,159,36,319,196
user_5/L3.jpg,169,38,319,188
user_5/L4.jpg,189,38,319,168
user_5/L5.jpg,146,24,296,174
user_5/L6.jpg,148,21,298,171
user_5/L7.jpg,165,15,315,165
user_5/L8.jpg,157,11,307,161
user_5/L9.jpg,159,17,309,167
user_5/O0.jpg,169,85,289,205
user_5/O1.jpg,162,75,282,195
user_5/O2.jpg,173,67,283,177
user_5/O3.jpg,179,64,289,174
user_5/O4.jpg,167,55,277,165
user_5/O5.jpg,190,51,310,171
user_5/O6.jpg,186,47,306,167
user_5/O7.jpg,198,29,318,149
user_5/O8.jpg,194,35,314,155
user_5/O9.jpg,187,30,307,150
user_5/V0.jpg,169,49,309,189
user_5/V1.jpg,158,52,298,192
user_5/V2.jpg,175,53,315,193
user_5/V3.jpg,161,47,301,187
user_5/V4.jpg,165,44,305,184
user_5/V5.jpg,177,29,317,169
user_5/V6.jpg,179,30,319,170
user_5/V7.jpg,179,34,319,174
user_5/V8.jpg,189,33,319,163
user_5/V9.jpg,189,36,319,166
user_5/W0.jpg,181,66,311,196
user_5/W1.jpg,170,51,300,181
user_5/W2.jpg,175,69,305,199
user_5/W3.jpg,166,58,296,188
user_5/W4.jpg,178,56,308,186
user_5/W5.jpg,177,25,317,165
user_5/W6.jpg,169,25,319,175
user_5/W7.jpg,152,22,302,172
user_5/W8.jpg,169,27,319,177
user_5/W9.jpg,162,24,312,174
user_5/Y0.jpg,168,56,298,186
user_5/Y1.jpg,147,56,277,186
user_5/Y2.jpg,168,58,298,188
user_5/Y3.jpg,153,54,283,184
user_5/Y4.jpg,167,61,297,191
user_5/Y5.jpg,189,32,319,162
user_5/Y6.jpg,173,31,303,161
user_5/Y7.jpg,189,25,319,155
user_5/Y8.jpg,179,18,309,148
user_5/Y9.jpg,189,20,319,150
